size,brute_force_mean_ms,brute_force_std_ms,merge_sort_mean_ms,merge_sort_std_ms
100,0.18254182068631053,0.014326966194851161,0.12521659955382347,0.00971656198829462
500,4.576624999754131,0.1378417367277275,0.7341747754253447,0.045187817226687625
1000,18.37092499481514,0.33678171404090473,1.5458081965334713,0.03090220005676296
2000,73.09151620138437,1.2458313234156844,3.5685667884536088,0.0863909090006984
3000,161.29931681789458,2.8701081932173356,5.481624999083579,0.016961234859581575
5000,464.4058334059082,19.1308535399532,11.437441816087812,2.597884720435065
7500,1075.3932417952456,67.94697641966387,15.256508183665574,0.05032078323409871
10000,1812.0586749981157,9.657519171902951,21.116425201762468,0.18890844958136682

large_size,merge_sort_mean_ms,merge_sort_std_ms
20000,46.47660838672891,1.8480489097853774
50000,125.31908319797367,2.116571657029676
75000,200.22075020242482,12.519771238964147
100000,261.3816499710083,5.845976122385543
